Number of documents of the corpus: 15397
Number of words of the corpus: 6957
Word:a Frec:3088 LogProb:-4.533636281845629
Word:aba Frec:3 LogProb:-11.18294461364432
Word:abandon Frec:14 LogProb:-9.861188773662
Word:abat Frec:5 LogProb:-10.777479505536157
Word:abdul Frec:2 LogProb:-11.470626686096102
Word:abid Frec:4 LogProb:-10.959801062330111
Word:abil Frec:12 LogProb:-10.004289617302675
Word:abl Frec:8 LogProb:-10.372014397427991
Word:abort Frec:3 LogProb:-11.18294461364432
Word:abound Frec:3 LogProb:-11.18294461364432
Word:about Frec:7 LogProb:-10.489797433084375
Word:abov Frec:26 LogProb:-9.273402108759882
Word:abr Frec:2 LogProb:-11.470626686096102
Word:abri Frec:3 LogProb:-11.18294461364432
Word:abroad Frec:6 LogProb:-10.623328825708898
Word:abrupt Frec:3 LogProb:-11.18294461364432
Word:absenc Frec:5 LogProb:-10.777479505536157
Word:absent Frec:5 LogProb:-10.777479505536157
Word:absolut Frec:111 LogProb:-7.850740103469117
Word:absorb Frec:4 LogProb:-10.959801062330111
Word:absurd Frec:13 LogProb:-9.930181645148952
Word:abuja Frec:5 LogProb:-10.777479505536157
Word:abund Frec:2 LogProb:-11.470626686096102
Word:abus Frec:67 LogProb:-8.349731269588105
Word:abyss Frec:2 LogProb:-11.470626686096102
Word:acc Frec:32 LogProb:-9.072731413297731
Word:acceler Frec:29 LogProb:-9.168041593102055
Word:accept Frec:25 LogProb:-9.31114243674273
Word:access Frec:131 LogProb:-7.6864370521778405
Word:accessori Frec:2 LogProb:-11.470626686096102
Word:accid Frec:5 LogProb:-10.777479505536157
Word:accident Frec:11 LogProb:-10.084332324976211
Word:accommod Frec:11 LogProb:-10.084332324976211
Word:accompani Frec:4 LogProb:-10.959801062330111
Word:accord Frec:73 LogProb:-8.265173881560042
Word:accordingli Frec:3 LogProb:-11.18294461364432
Word:account Frec:64 LogProb:-8.394851704868573
Word:accru Frec:2 LogProb:-11.470626686096102
Word:accumul Frec:3 LogProb:-11.18294461364432
Word:accur Frec:9 LogProb:-10.266653881770166
Word:accus Frec:36 LogProb:-8.958321062119987
Word:accustom Frec:2 LogProb:-11.470626686096102
Word:ace Frec:2 LogProb:-11.470626686096102
Word:ach Frec:4 LogProb:-10.959801062330111
Word:achiev Frec:12 LogProb:-10.004289617302675
Word:acid Frec:3 LogProb:-11.18294461364432
Word:acknowledg Frec:10 LogProb:-10.17134370196584
Word:acm Frec:3 LogProb:-11.18294461364432
Word:acquir Frec:6 LogProb:-10.623328825708898
Word:acr Frec:3 LogProb:-11.18294461364432
Word:acryl Frec:2 LogProb:-11.470626686096102
Word:act Frec:133 LogProb:-7.6713991748133
Word:action Frec:112 LogProb:-7.84185115605187
Word:activ Frec:81 LogProb:-8.162519727499959
Word:activist Frec:6 LogProb:-10.623328825708898
Word:actor Frec:12 LogProb:-10.004289617302675
Word:actual Frec:149 LogProb:-7.5586036806679555
Word:acut Frec:7 LogProb:-10.489797433084375
Word:ad Frec:87 LogProb:-8.091902160286004
Word:ada Frec:40 LogProb:-8.855666908059904
Word:adam Frec:4 LogProb:-10.959801062330111
Word:adapt Frec:26 LogProb:-9.273402108759882
Word:add Frec:52 LogProb:-8.598947061212089
Word:addict Frec:9 LogProb:-10.266653881770166
Word:addit Frec:54 LogProb:-8.56190578953174
Word:address Frec:49 LogProb:-8.657215969336065
Word:adelaid Frec:2 LogProb:-11.470626686096102
Word:adequ Frec:8 LogProb:-10.372014397427991
Word:adher Frec:10 LogProb:-10.17134370196584
Word:adida Frec:3 LogProb:-11.18294461364432
Word:adjac Frec:3 LogProb:-11.18294461364432
Word:adjourn Frec:2 LogProb:-11.470626686096102
Word:adjust Frec:25 LogProb:-9.31114243674273
Word:admin Frec:3 LogProb:-11.18294461364432
Word:administ Frec:2 LogProb:-11.470626686096102
Word:administr Frec:36 LogProb:-8.958321062119987
Word:admit Frec:10 LogProb:-10.17134370196584
Word:adopt Frec:20 LogProb:-9.524716537040788
Word:adriana Frec:2 LogProb:-11.470626686096102
Word:adult Frec:31 LogProb:-9.103503071964484
Word:adulter Frec:2 LogProb:-11.470626686096102
Word:adv Frec:3 LogProb:-11.18294461364432
Word:advanc Frec:14 LogProb:-9.861188773662
Word:advantag Frec:126 LogProb:-7.72505188830562
Word:advent Frec:2 LogProb:-11.470626686096102
Word:adventur Frec:2 LogProb:-11.470626686096102
Word:advers Frec:11 LogProb:-10.084332324976211
Word:advert Frec:3 LogProb:-11.18294461364432
Word:advertis Frec:35 LogProb:-8.9857200363081
Word:advic Frec:87 LogProb:-8.091902160286004
Word:advis Frec:44 LogProb:-8.762576484993891
Word:advisor Frec:3 LogProb:-11.18294461364432
Word:advisori Frec:6 LogProb:-10.623328825708898
Word:advoc Frec:14 LogProb:-9.861188773662
Word:advocaci Frec:2 LogProb:-11.470626686096102
Word:aerosol Frec:5 LogProb:-10.777479505536157
Word:afar Frec:2 LogProb:-11.470626686096102
Word:affair Frec:37 LogProb:-8.931652815037825
Word:affect Frec:233 LogProb:-7.113917859406509
Word:affili Frec:3 LogProb:-11.18294461364432
Word:affirm Frec:3 LogProb:-11.18294461364432
Word:afflict Frec:3 LogProb:-11.18294461364432
Word:affluent Frec:2 LogProb:-11.470626686096102
Word:afford Frec:113 LogProb:-7.833040526369715
Word:afghanistan Frec:3 LogProb:-11.18294461364432
Word:afloat Frec:7 LogProb:-10.489797433084375
Word:afoot Frec:2 LogProb:-11.470626686096102
Word:afraid Frec:23 LogProb:-9.391185144416266
Word:africa Frec:34 LogProb:-9.013890913274798
Word:african Frec:24 LogProb:-9.35036314989601
Word:after Frec:7 LogProb:-10.489797433084375
Word:afterlif Frec:2 LogProb:-11.470626686096102
Word:aftermath Frec:12 LogProb:-10.004289617302675
Word:afternoon Frec:24 LogProb:-9.35036314989601
Word:afterward Frec:3 LogProb:-11.18294461364432
Word:aga Frec:2 LogProb:-11.470626686096102
Word:again Frec:152 LogProb:-7.538801053371776
Word:against Frec:234 LogProb:-7.109653460620052
Word:age Frec:49 LogProb:-8.657215969336065
Word:agenc Frec:35 LogProb:-8.9857200363081
Word:agenda Frec:4 LogProb:-10.959801062330111
Word:agent Frec:61 LogProb:-8.44210458971912
Word:aggrav Frec:2 LogProb:-11.470626686096102
Word:aggreg Frec:2 LogProb:-11.470626686096102
Word:aggress Frec:21 LogProb:-9.478196521405895
Word:agil Frec:3 LogProb:-11.18294461364432
Word:agit Frec:4 LogProb:-10.959801062330111
Word:ago Frec:82 LogProb:-8.150398366967613
Word:agoraphob Frec:2 LogProb:-11.470626686096102
Word:agoraphobia Frec:2 LogProb:-11.470626686096102
Word:agra Frec:7 LogProb:-10.489797433084375
Word:agre Frec:68 LogProb:-8.335132470166952
Word:agreement Frec:9 LogProb:-10.266653881770166
Word:agricultur Frec:60 LogProb:-8.4583651105909
Word:ahab Frec:2 LogProb:-11.470626686096102
Word:ahead Frec:55 LogProb:-8.543887284029061
Word:ahm Frec:4 LogProb:-10.959801062330111
Word:aid Frec:44 LogProb:-8.762576484993891
Word:aim Frec:21 LogProb:-9.478196521405895
Word:ain Frec:15 LogProb:-9.79665025252443
Word:air Frec:53 LogProb:-8.580254928199937
Word:airborn Frec:5 LogProb:-10.777479505536157
Word:airfar Frec:3 LogProb:-11.18294461364432
Word:airlin Frec:36 LogProb:-8.958321062119987
Word:airport Frec:9 LogProb:-10.266653881770166
Word:aisl Frec:108 LogProb:-7.877891092535068
Word:aka Frec:14 LogProb:-9.861188773662
Word:al Frec:32 LogProb:-9.072731413297731
Word:ala Frec:4 LogProb:-10.959801062330111
Word:alan Frec:2 LogProb:-11.470626686096102
Word:alarm Frec:16 LogProb:-9.736025630707996
Word:alaska Frec:6 LogProb:-10.623328825708898
Word:albeit Frec:2 LogProb:-11.470626686096102
Word:albert Frec:6 LogProb:-10.623328825708898
Word:alberta Frec:19 LogProb:-9.57350670121022
Word:albertan Frec:4 LogProb:-10.959801062330111
Word:alcohol Frec:71 LogProb:-8.292572855748155
Word:alert Frec:69 LogProb:-8.320743732714853
Word:alex Frec:6 LogProb:-10.623328825708898
Word:alexand Frec:3 LogProb:-11.18294461364432
Word:algeria Frec:3 LogProb:-11.18294461364432
Word:algorithm Frec:2 LogProb:-11.470626686096102
Word:ali Frec:22 LogProb:-9.433744758835061
Word:alic Frec:2 LogProb:-11.470626686096102
Word:alien Frec:7 LogProb:-10.489797433084375
Word:alight Frec:2 LogProb:-11.470626686096102
Word:alik Frec:6 LogProb:-10.623328825708898
Word:aliv Frec:14 LogProb:-9.861188773662
Word:all Frec:184 LogProb:-7.348883149685887
Word:allah Frec:11 LogProb:-10.084332324976211
Word:alleg Frec:22 LogProb:-9.433744758835061
Word:allegedli Frec:35 LogProb:-8.9857200363081
Word:allen Frec:4 LogProb:-10.959801062330111
Word:allerg Frec:2 LogProb:-11.470626686096102
Word:allergi Frec:12 LogProb:-10.004289617302675
Word:allevi Frec:5 LogProb:-10.777479505536157
Word:alli Frec:14 LogProb:-9.861188773662
Word:allianc Frec:4 LogProb:-10.959801062330111
Word:alloc Frec:9 LogProb:-10.266653881770166
Word:allow Frec:182 LogProb:-7.359752821922791
Word:almost Frec:2 LogProb:-11.470626686096102
Word:alo Frec:3 LogProb:-11.18294461364432
Word:alon Frec:74 LogProb:-8.251750861227901
Word:along Frec:59 LogProb:-8.47489441254211
Word:alongsid Frec:6 LogProb:-10.623328825708898
Word:alphabet Frec:3 LogProb:-11.18294461364432
Word:alreadi Frec:216 LogProb:-7.189341621223751
Word:alright Frec:7 LogProb:-10.489797433084375
Word:also Frec:7 LogProb:-10.489797433084375
Word:alt Frec:3 LogProb:-11.18294461364432
Word:alter Frec:6 LogProb:-10.623328825708898
Word:altern Frec:29 LogProb:-9.168041593102055
