Number_of_documents: 18046
Number_of_words: 7273
Word:000 Frec:84 LogProb:-8.787464573608224
Word:0113 Frec:3 LogProb:-11.84382146897865
Word:01273 Frec:3 LogProb:-11.84382146897865
Word:01756986 Frec:2 LogProb:-12.131503541430432
Word:0203 Frec:2 LogProb:-12.131503541430432
Word:0300pm Frec:4 LogProb:-11.620677917664441
Word:03065659733 Frec:2 LogProb:-12.131503541430432
Word:03344859556 Frec:2 LogProb:-12.131503541430432
Word:0600am Frec:2 LogProb:-12.131503541430432
Word:07063501522 Frec:2 LogProb:-12.131503541430432
Word:0715783634 Frec:3 LogProb:-11.84382146897865
Word:0800 Frec:3 LogProb:-11.84382146897865
Word:08028611855 Frec:2 LogProb:-12.131503541430432
Word:08079024516 Frec:2 LogProb:-12.131503541430432
Word:0808 Frec:3 LogProb:-11.84382146897865
Word:09093052802 Frec:2 LogProb:-12.131503541430432
Word:0930 Frec:2 LogProb:-12.131503541430432
Word:09734 Frec:2 LogProb:-12.131503541430432
Word:100 Frec:152 LogProb:-8.199677908706105
Word:100' Frec:2 LogProb:-12.131503541430432
Word:1000 Frec:42 LogProb:-9.468915714404979
Word:10000 Frec:8 LogProb:-11.032891252762322
Word:100000 Frec:37 LogProb:-9.592529670372155
Word:1000ml Frec:2 LogProb:-12.131503541430432
Word:100k Frec:9 LogProb:-10.927530737104496
Word:100ml Frec:7 LogProb:-11.150674288418704
Word:100these Frec:2 LogProb:-12.131503541430432
Word:101 Frec:5 LogProb:-11.438356360870486
Word:1030 Frec:2 LogProb:-12.131503541430432
Word:1030am Frec:2 LogProb:-12.131503541430432
Word:1041 Frec:2 LogProb:-12.131503541430432
Word:105 Frec:2 LogProb:-12.131503541430432
Word:10862 Frec:2 LogProb:-12.131503541430432
Word:1088690 Frec:2 LogProb:-12.131503541430432
Word:10k Frec:3 LogProb:-11.84382146897865
Word:10x Frec:4 LogProb:-11.620677917664441
Word:1100 Frec:2 LogProb:-12.131503541430432
Word:11000 Frec:3 LogProb:-11.84382146897865
Word:111 Frec:3 LogProb:-11.84382146897865
Word:116 Frec:6 LogProb:-11.284205681043227
Word:119 Frec:3 LogProb:-11.84382146897865
Word:1199 Frec:2 LogProb:-12.131503541430432
Word:120 Frec:7 LogProb:-11.150674288418704
Word:1200 Frec:8 LogProb:-11.032891252762322
Word:12000 Frec:3 LogProb:-11.84382146897865
Word:12335 Frec:2 LogProb:-12.131503541430432
Word:124 Frec:3 LogProb:-11.84382146897865
Word:125 Frec:6 LogProb:-11.284205681043227
Word:128 Frec:6 LogProb:-11.284205681043227
Word:130 Frec:8 LogProb:-11.032891252762322
Word:1326 Frec:2 LogProb:-12.131503541430432
Word:134 Frec:2 LogProb:-12.131503541430432
Word:135 Frec:3 LogProb:-11.84382146897865
Word:136 Frec:3 LogProb:-11.84382146897865
Word:140 Frec:3 LogProb:-11.84382146897865
Word:1400 Frec:3 LogProb:-11.84382146897865
Word:14000 Frec:4 LogProb:-11.620677917664441
Word:14200 Frec:3 LogProb:-11.84382146897865
